date,action,valid_fraction,csc_max,alert_pixels,gsd_m,tile_density_mb_per_km2,posterior_mean_max,posterior_tail_max,note
2024-06-09,BASELINE,1.000,0.180,0,0.0,0.00,0.500,0.500,baseline warmup
2024-06-25,BASELINE,1.000,0.180,0,0.0,0.00,0.500,0.500,baseline warmup
2024-07-11,BASELINE,1.000,0.180,0,0.0,0.00,0.500,0.500,baseline warmup
2024-07-27,FUSE_PRIORITY,1.000,0.614,27,4.6,8.40,0.667,0.750,real-scene replay (EVI/LST fallback)
2024-08-12,FUSE,1.000,0.175,0,10.0,1.80,0.750,0.875,real-scene replay (EVI/LST fallback)
2024-08-28,FUSE,1.000,0.153,0,10.0,1.80,0.800,0.938,real-scene replay (EVI/LST fallback)
2024-09-13,FUSE,1.000,0.391,0,10.0,1.80,0.833,0.969,real-scene replay (EVI/LST fallback)
2024-09-29,FUSE,1.000,0.380,0,10.0,1.80,0.857,0.984,real-scene replay (EVI/LST fallback)
2024-10-15,FUSE,1.000,0.339,0,10.0,1.80,0.875,0.992,real-scene replay (EVI/LST fallback)
2024-10-31,FUSE,0.965,0.123,0,10.0,1.80,0.875,0.992,real-scene replay (EVI/LST fallback)
